assembly,group,sample,haplotype,grade,color,alpha
COLO829BL_hap1,benchmarking,COLO829BL,hap1,A+,#d95f02,0.9
COLO829BL_hap2,benchmarking,COLO829BL,hap2,A+,#d95f02,0.9
DSA_ST001.bp.hap1.p_ctg,benchmarking,ST001,hap1,B-,#7570b3,0.9
DSA_ST001.bp.hap2.p_ctg,benchmarking,ST001,hap2,B-,#7570b3,0.9
DSA_ST002.bp.hap1.p_ctg,benchmarking,ST002,hap1,B-,#8a89c4,0.9
DSA_ST002.bp.hap2.p_ctg,benchmarking,ST002,hap2,B-,#8a89c4,0.9
DSA_ST003.bp.hap1.p_ctg,benchmarking,ST003,hap1,B-,#a4a1d6,0.9
DSA_ST003.bp.hap2.p_ctg,benchmarking,ST003,hap2,B-,#a4a1d6,0.9
DSA_ST004.bp.hap1.p_ctg,benchmarking,ST004,hap1,B-,#b8b9e0,0.9
DSA_ST004.bp.hap2.p_ctg,benchmarking,ST004,hap2,B-,#b8b9e0,0.9
SMHT004_hap1,production,SMHT004,hap1,A+,#dbb29b,0.9
SMHT004_hap2,production,SMHT004,hap2,A+,#dbb29b,0.9
SMHT012_hap1,production,SMHT012,hap1,A+,#d9814d,0.9
SMHT012_hap2,production,SMHT012,hap2,A+,#d9814d,0.9
T2T-CHM13v2,reference,T2T-CHM13,hap1,ref,#1b9e77,0.9
hg38.no_alt,reference,hg38,hap1,ref,#66c2a5,0.9
HG01952.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG02109.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG02257.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG02486.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG02886.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG03486.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG002.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG005.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG00621.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG00735.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG01243.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG01258.mat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG01258.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG01358.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
HG01928.pat,hprc,hprc_r1,hap1,hprc_r1,#9E7D2C,0.15
GCA_042077745.1_HG00232_hap2_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042077965.1_HG00290_hap1_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_041900265.1_HG00597_mat_hprc_rel2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042037735.1_HG01074_mat_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042076535.1_HG01943_mat_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_041900135.1_HG02258_mat_hprc_rel2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042028775.1_HG02647_pat_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042038585.1_HG02668_mat_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042031255.1_HG02976_hap1_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_045524125.1_HG02984_pat_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042038595.1_HG03017_mat_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042030635.1_HG03195_hap2_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_046332145.1_NA18967_hap2_hprc_r2_v1.0.1_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_042034585.1_NA19338_hap2_hprc_f2_genomic,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
GCA_018504665.2_NA21309_pat_hprc_r2_v1,hprc,hprc_r2,hap1,hprc_r2,#d197c7,0.15
